asset_id,type,filename,destination,narrative_purpose,mood,instrumentation_source,duration_target_s,loop_required,loop_notes,loudness_target,format,sample_rate,channels,production_method,production_prompt_file,source_url,creator,license,attribution,sha256,placeholder_status,candidate_status,user_approval_status,integration_status,notes
mus_title,music,mus_title.ogg,assets/audio/,Title screen,"still, breathing","harmonium drone D/A, drips, fiddle fragment of The River",45,yes,crossfaded seam; validated in reports/assets/audio_validation.json,-20 LUFS approx,OGG Vorbis q5,44100,2,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/mus_title.txt,,repository (procedural),original (repository),none required,7f54cdb09426402fb07511553b6e7f9ed0f1db932bba582cb82cb67126ec9730,procedural_candidate,candidate,pending,integrated,requires human listening review
mus_ambient,music,mus_ambient.ogg,assets/audio/,Ordinary play,"quiet, mechanical","harmonium, filtered water noise, gear clicks at 52 bpm",92,yes,crossfaded seam; validated in reports/assets/audio_validation.json,-20 LUFS approx,OGG Vorbis q5,44100,2,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/mus_ambient.txt,,repository (procedural),original (repository),none required,1ae83a0bdacad05e65c6fae309fa1f56c788e482b65beebc901518fcd37d94d3,procedural_candidate,candidate,pending,integrated,requires human listening review
mus_crisis,music,mus_crisis.ogg,assets/audio/,Crisis pool active / danger bands,"urgent, regular","harmonium pulse 120 bpm, plucked bass, bell every 4 bars",32,yes,crossfaded seam; validated in reports/assets/audio_validation.json,-18 LUFS approx,OGG Vorbis q5,44100,2,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/mus_crisis.txt,,repository (procedural),original (repository),none required,b9cd3b87c43eafd7c8dc51cdb8ed6c70a992d74fac6fd1dc6dc1b1dfe08c928e,procedural_candidate,candidate,pending,integrated,requires human listening review
mus_ending_ordinary,music,mus_ending_ordinary.ogg,assets/audio/,Ordinary and false endings,"settled, ambiguous","plucked D-F-A arpeggio, harmonium pad, bell",20,no,one-shot,-20 LUFS approx,OGG Vorbis q5,44100,2,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/mus_ending_ordinary.txt,,repository (procedural),original (repository),none required,0399d3333b48367abd1e75f721ff13ebf2e4dc75cd0c82a5f78cf9757fef3664,procedural_candidate,candidate,pending,integrated,requires human listening review
mus_ending_fail,music,mus_ending_fail.ogg,assets/audio/,Deaths and dismissals,final,"tubular bell, decaying harmonium",12,no,one-shot,-22 LUFS approx,OGG Vorbis q5,44100,2,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/mus_ending_fail.txt,,repository (procedural),original (repository),none required,16961c9b434d10fc00f6fb3e5bfc144758e36dc38c0ea89b2dbdd41de3f01ba8,procedural_candidate,candidate,pending,integrated,requires human listening review
mus_ending_true,music,mus_ending_true.ogg,assets/audio/,True endings,release,"The River motif (D Dorian) on solo fiddle, pad, bell",40,no,one-shot,-18 LUFS approx,OGG Vorbis q5,44100,2,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/mus_ending_true.txt,,repository (procedural),original (repository),none required,1b50dd69d0d084ae5a572ce4129bd20bf778affac27a461f8ee486b02085fecc,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_card_drag,sfx,sfx_card_drag.wav,assets/audio/,Drag start,paper,"band-passed noise, 3 variations (_v1.._v3)",0.14,no,one-shot,-22 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_card_drag.txt,,repository (procedural),original (repository),none required,68641825d62bfc9b81fc865b80d913db5c9257681b3b153b82fde0d9e0179783,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_card_tilt,sfx,sfx_card_tilt.wav,assets/audio/,Passing the commit threshold,click,pitch-swept sine,0.05,no,one-shot,-16 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_card_tilt.txt,,repository (procedural),original (repository),none required,5cdc04f056b568e851510391623341aae6e5cd6bf55b672f242759df15f1985e,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_card_snap,sfx,sfx_card_snap.wav,assets/audio/,Card returns to centre,rubbery,pitch sweep + noise,0.16,no,one-shot,-15 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_card_snap.txt,,repository (procedural),original (repository),none required,c0c0628d033382b1f615e538d90f2bfca37f1e9b349b4356898df9ac6c6deabb,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_card_commit,sfx,sfx_card_commit.wav,assets/audio/,Decision committed,wooden thud,"slap + gate thud + chain, 2 variations",0.3,no,one-shot,-14 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_card_commit.txt,,repository (procedural),original (repository),none required,0ad9599fb79a5924d33ffda989f9844be01c8029cf351b399759982f69285ecf,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_ui_nav,sfx,sfx_ui_nav.wav,assets/audio/,Menu navigation,brass tick,sine,0.05,no,one-shot,-19 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_ui_nav.txt,,repository (procedural),original (repository),none required,39fd14f41aeb252bf5c1ee73a45aec75d9edf9e6e5368d2ba65cb973721cccc8,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_ui_confirm,sfx,sfx_ui_confirm.wav,assets/audio/,Menu confirmation,brass,two sines,0.16,no,one-shot,-17 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_ui_confirm.txt,,repository (procedural),original (repository),none required,242338bbb1dbfd1589f117a8ca566eaac28aeb81064b05030824f738bed103b9,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_save,sfx,sfx_save.wav,assets/audio/,Save confirmation,brass,two rising sines,0.25,no,one-shot,-19 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_save.txt,,repository (procedural),original (repository),none required,202db3f204e52c5099c85525094672b30e6b8ed8a24dd0a19df569c147c4a206,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_res_up,sfx,sfx_res_up.wav,assets/audio/,Resource increase,bell up,two-note bell,0.28,no,one-shot,-17 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_res_up.txt,,repository (procedural),original (repository),none required,e80b26f3e0e035eef7d3016fff303506219dde86b58e80aa43daf2ad3941eed7,procedural_candidate,candidate,pending,integrated,requires human listening review
