key,text
card.cri_company_01.text,COMPANY TO KEEPER STOP CONFIDENCE IN SUMMIT WITHDRAWN STOP KEEPER TO SHOW CAUSE WHY APPOINTMENT SHOULD NOT BE REVOKED STOP REPLY WITHIN THE WATCH STOP
card.cri_company_01.left,Show cause: the figures
card.cri_company_01.left_outcome,You send the Book's figures. They are honest. They are not good. Ardent replies 'noted'.
card.cri_company_01.right,Show cause: the town
card.cri_company_01.right_outcome,"You send the moot's letter, Ilse's, Bram's mark, Crane's seal. Ardent has never received such a thing. It does not know what to do with it."
card.cri_company_02.text,The Board asked me for a name to replace you. I gave one: a clerk in Ardent who has never seen a lock. The Board will take a month to discover this. You will find that is the month I have bought you.
card.cri_company_02.left,Use the month
card.cri_company_02.left_outcome,"A month. Quiet figures, no letters, the gate at the bell. The Board forgets what is quiet."
card.cri_company_02.right,Why buy it?
card.cri_company_02.right_outcome,"""Because the clerk would not watch the gauge. You will find I have started to want someone to."""
card.cri_company_03.text,"I have the revocation in my case. Signed, dated Tuesday. It is Monday. My view, which the Board did not ask for, is that the summit under you has not lost a boat, a hand, or a mark of water it could have kept. Convince me by Tuesday."
card.cri_company_03.left,Show him the Ledger
card.cri_company_03.left_outcome,"He reads it all night. In the morning: ""Regrettably, this is not evidence. It is, however, persuasive."" He tears the revocation in half."
card.cri_company_03.right,Show him the gate at work
card.cri_company_03.right_outcome,A day at the gate beside you. He does not speak. At dusk he says 'regrettably' and burns the paper in the lock house stove.
card.cri_company_04.text,I have been told to prepare the Keeper's house for a successor. I have sat with the order and a pen for two days. Tell me something to write that is not 'no'. I have never written 'no'. I do not know how it is spelled.
card.cri_company_04.left,Write 'no'
card.cri_company_04.left_outcome,"He writes it. Two letters. He looks at it a long time. He sends it. Ardent is silent for a week, astonished."
card.cri_company_04.right,Write 'the house is not ready'
card.cri_company_04.right_outcome,"""Not ready. Yes. It can be not ready for months."" It is."
card.cri_company_05.text,A wire's come through for the constables at Lock 5. It says your name and 'detain pending inquiry'. I haven't sent it on. I'm meant to. I've been sitting here with it for an hour. Tell me what to do.
card.cri_company_05.left,Send it on
card.cri_company_05.left_outcome,"""Right. Right."" He sends it. The constables come. Vosk meets them at the boundary stone and they go back. You do not know what she said."
card.cri_company_05.right,Lose it
card.cri_company_05.right_outcome,"""Lost. Yes. I lose things. I've never lost a thing in my life."" He loses it. It is the bravest thing he has done."
card.cri_company_06.text,"The Board has stopped writing. Not favorably; silently. The summit runs. The Book balances. Nobody from Ardent has visited in a season. The Ledger's Company page, in Dray's hand, says: 'when they stop writing, they have decided. Find out what.'"
card.cri_company_06.left,Find out what
card.cri_company_06.left_outcome,Fennick reads the Ardent code for a week. They have decided nothing. They have forgotten the summit. It is the safest you have been.
card.cri_company_06.right,Enjoy the silence
card.cri_company_06.right_outcome,You enjoy it. It lasts. Silence from Ardent is the Company's only gift.
card.cri_dry_01.text,"The gauge is at the third mark. Loaded barges cannot enter the chamber. The queue has become a camp. The Reach lies on its side in the mud. The aqueduct, for what it is worth, is running normally."
card.cri_dry_01.left,Close the summit to loaded vessels
card.cri_dry_01.left_outcome,Light boats only. Cargo is unloaded on the wharf and carried round by cart. The town hires out every horse it has.
card.cri_dry_01.right,One heavy boat at a time
card.cri_dry_01.right_outcome,"One boat a watch, dragged over the sill by every hand. The sill loses stones. So does the town's patience."
card.cri_dry_02.text,"The chamber floor's showing at the north corner. Nobody has seen it since Year 31. There's a grating in it, and under the grating, running water, going out, not in. Sorry. The pound has a drain and nobody knew."
card.cri_dry_02.left,Block the grating
card.cri_dry_02.left_outcome,Tamm makes a plug. The pound stops falling for two days. Then something under the hill pushes it out.
card.cri_dry_02.right,Follow where the water goes
card.cri_dry_02.right_outcome,"It goes north, under the bank, toward the sluice house. It always did."
card.cri_dry_03.text,"The Reach is aground. All of it. Old boats on their sides, families in the mud, the old singer in a tent. We have never asked the town for shelter. We ask the gate to ask for us, because we cannot make the words."
card.cri_dry_03.left,Ask the town
card.cri_dry_03.left_outcome,"You ask Ilse. Ilse asks the moot. The moot, astonishing itself, says yes. Forty Hullfolk sleep in the town's lofts."
card.cri_dry_03.right,Open the Company warehouse
card.cri_dry_03.right_outcome,Forty Hullfolk in the Company's grain store. Pell finds out and cannot decide how to feel.
card.cri_dry_04.text,"A grain fleet has been in the camp nine days. Its master is selling grain to the town at a price it cannot pay, and to Sorrel bargees at one they can. The town is watching its bread go west across a dry pound."
card.cri_dry_04.left,Requisition the grain for the town
card.cri_dry_04.left_outcome,Emergency clause. The grain is the town's at a fair price. Aldmere protests. The town eats.
card.cri_dry_04.right,The master sells to whom he likes
card.cri_dry_04.right_outcome,"The grain goes west by cart. The town watches. Ilse says nothing, loudly."
card.cri_dry_05.text,"Nine days. My principals have stopped writing letters and started writing lawyers. I've got a proposal: a Sorrel dredging crew, at Sorrel's cost, to cut the sill down a foot. The Company will never allow it. The Company is nine days away."
card.cri_dry_05.left,Let them cut the sill
card.cri_dry_05.left_outcome,Sorrel men with picks in the Company's lock chamber. The sill drops a foot. Heavy boats float. Vosk arrives on the tenth day and looks at the sill a long time.
card.cri_dry_05.right,Nobody cuts the Company's sill
card.cri_dry_05.right_outcome,"""Then nobody's coal moves. Fine. I'll write to the lawyers myself."""
card.cri_dry_06.text,"The Board has wired. It uses 'drought' four times and 'Keeper' five. It wishes to know why the reservoirs, 'ample by every report', have failed to sustain the pound. I do not know what to tell them. I have never not known."
card.cri_dry_06.left,Tell them the reservoirs never could
card.cri_dry_06.left_outcome,"You write it plainly. Pell sends it, hand shaking. Ardent does not reply. Vosk does."
card.cri_dry_06.right,Tell them drought
card.cri_dry_06.right_outcome,You write 'drought'. Pell breathes. Ardent replies 'noted'. The pound falls a mark.
card.cri_dry_07.text,"Three things. The hands have been pumping the Reach end into the chamber by hand for six days. Two are down with their backs. And they've asked, since there's no boats, whether they're still lock hands or just men with buckets."
card.cri_dry_07.left,Still lock hands; full wages
card.cri_dry_07.left_outcome,Paid for pumping. They pump. The pound holds its mark for a week.
card.cri_dry_07.right,Send them home till the rain
card.cri_dry_07.right_outcome,"Unpaid, home. The chamber dries. Two go down to Lock 6 and do not come back."
card.cri_dry_08.text,"Rain, at last. The pound comes up a mark a day for a week. The camp breaks; the Reach floats. In the Ledger, the Year 31 entry ends: 'the pound recovered in a week, without rain'. Yours recovered with it. That is the only difference."
card.cri_dry_08.left,Note the difference
card.cri_dry_08.left_outcome,Without rain. Somebody in Year 31 wrote that and knew what it meant.
card.cri_dry_08.right,Note the recovery
card.cri_dry_08.right_outcome,The pound is back. The boats are back. You do not ask the water anything. This week.
card.cri_fever_01.text,"Three cases of the coalfield fever in the town, off a boat with a clean bill. It spreads in crowds: the inn, the chapel, the queue. I am asking for a quarantine. Nobody has ever closed the summit for a physician."
card.cri_fever_01.left,Quarantine; close the summit
card.cri_fever_01.left_outcome,The gate shuts. The queue stops. The inn empties. Three cases stay three.
card.cri_fever_01.right,Isolate the three; keep the gate
card.cri_fever_01.right_outcome,Three in the chapel's back room. The gate runs. By the week's end there are nine.
card.cri_fever_02.text,"Nine cases. The Board has been informed by someone who is not me. Its instruction is that the summit remain open 'to avoid alarm'. The Board is in Ardent. I am asking you to disobey it, and I will write that you did not."
card.cri_fever_02.left,Disobey; close the gate
card.cri_fever_02.left_outcome,"""Noted. The gate closed for maintenance."" She writes it. Nine cases stay nine."
card.cri_fever_02.right,Obey; stay open
card.cri_fever_02.right_outcome,The gate runs. By the month's end there are thirty. Two are children. Vosk does not write anything at all.
card.cri_fever_03.text,"The chapel is a hospital. Thirty on pallets in the nave. Stroud has not slept in four days. I carry water from the well, which she says is safe boiled. The town is asking for a Vigil. I am asking for hands."
card.cri_fever_03.left,Every hand to the chapel
card.cri_fever_03.left_outcome,"The gate closes. Lock hands carry water and bodies. Hale holds the Vigil anyway, at the end, for those who did not need the hands."
card.cri_fever_03.right,Hold the Vigil; the hands keep the gate
card.cri_fever_03.right_outcome,Lamps at the sill. Boats through. The town takes the Vigil as an answer. It is not one Stroud accepts.
card.cri_fever_04.text,"Four dead. The inn's been shut a month and I've fed the town from the cellar for nothing and I'm not asking for the money. I'm asking why a boat with a clean bill came through your gate, and who signed the bill, and whether you looked."
card.cri_fever_04.left,I didn't look; I should have
card.cri_fever_04.left_outcome,"""Right. Say it at the burying. They need to hear someone say it."" You do."
card.cri_fever_04.right,The bill was clean; nobody could have
card.cri_fever_04.right_outcome,"""Nobody. Right. Nobody's buried four."""
card.cri_fever_05.text,"The fever has burned out. Stroud has slept. The queue has come back as if it never left. The Ledger's fever page, from Year 62: 'inspect the bills. Every one. It costs an hour. The other thing costs more.'"
card.cri_fever_05.left,Inspect every bill from now
card.cri_fever_05.left_outcome,An hour a boat. Traffic slows. Nobody sickens. Crane approves so much he says nothing.
card.cri_fever_05.right,Spot checks; the gate must move
card.cri_fever_05.right_outcome,One in five. Faster. Stroud says nothing. She has said it.
card.cri_fire_01.text,Fire in my yard. Tar barrels went first. Season's hulls are next and the Company warehouse after that and the town after that if the wind holds. I've got buckets. The pound's right there. I need every hand and I need them not to argue.
card.cri_fire_01.text_variant0,The warehouse fire's jumped to my yard. Tar barrels went first. Season's hulls are next and the town after that if the wind holds. I've got buckets and the pound's right there. I need every hand and I need them not to argue.
card.cri_fire_01.left,Every hand; requisition the town
card.cri_fire_01.left_outcome,The whole town on a bucket chain from the pound. The hulls are lost. The town is not.
card.cri_fire_01.right,Cut the yard loose; save the warehouse
card.cri_fire_01.right_outcome,The yard burns to the waterline. The warehouse stands. Tamm watches his life go up and says nothing to you again for a month.
card.cri_fire_02.text,"Fire's out. It took the yard and two houses on the low street. And the town says it started at the Company warehouse, from a Company lamp, and wants to know why the Company's lamp oil was stacked against Tamm's fence."
card.cri_fire_02.left,Ask the Company the same
card.cri_fire_02.left_outcome,You write to Ardent. Ardent replies that lamp oil storage is 'at Keeper's discretion'. It was not. It is now.
card.cri_fire_02.right,Fires start; nobody's to blame
card.cri_fire_02.right_outcome,"""Right. Nobody. I'll tell the two families nobody."""
card.cri_fire_03.text,"Eleven burned. Two badly. One is Perrin, five children, flooded cellar, and now no hands to work with. I can keep him alive. I cannot keep him a lock hand. The compensation form has a line for 'cause'. What do I write?"
card.cri_fire_03.left,"'Company lamp oil, improperly stored'"
card.cri_fire_03.left_outcome,Perrin is compensated in full. Ardent notes the cause. Vosk notes that you wrote it.
card.cri_fire_03.right,'Accident'
card.cri_fire_03.right_outcome,Perrin is compensated at half. The town knows what the form says. Stroud does not argue. She writes her own letter.
card.cri_fire_04.text,"Two families with no house. The inn's full. Cole has empty rooms and a price. The Company has a warehouse, half-burned, and a rule about townsfolk in Company buildings. I've asked both. Both said ask the Keeper. Everyone says ask the Keeper."
card.cri_fire_04.left,"The warehouse, rule or no rule"
card.cri_fire_04.left_outcome,"Two families in the Company's half-burned warehouse. Pell finds out and, for once, says nothing at all."
card.cri_fire_04.right,Pay Cole's price from the Coffers
card.cri_fire_04.right_outcome,Cole is paid. The families are housed. The Book has a line Vosk reads twice.
card.cri_fire_05.text,"The yard is a black square by the water. Tamm has started again on the far side, with the Hullfolk's driftwood and the town's nails. The Ledger has no fire page. You start one. It begins: 'the pound was right there'."
card.cri_fire_05.left,Fund the new yard
card.cri_fire_05.left_outcome,"Company timber, quietly. Tamm does not ask where it came from. He builds a better yard."
card.cri_fire_05.right,Let the town rebuild it
card.cri_fire_05.right_outcome,"The town rebuilds it. Slowly. It is the town's yard now, whatever the lease says."
card.cri_flood_01.text,A cloudburst on the Spine. Every stream on the north bank is a torrent and the pound is up two marks in a night. The overflow weir is roaring and the east embankment is dark with seepage from end to end.
card.cri_flood_01.left,"Every paddle open, now"
card.cri_flood_01.left_outcome,Water thunders down the east flight. Lock 8 floods its towpath. The pound steadies.
card.cri_flood_01.right,Sandbag the embankment first
card.cri_flood_01.right_outcome,The town on the bank with sacks all night. The seepage slows. The pound does not.
card.cri_flood_02.text,The low street is under. Not cellars. Street. There are people on their roofs and the chapel undercroft's a well and the sandbags have gone down the flight with the rest. The moot's not meeting. The moot's bailing. Where's the Keeper?
card.cri_flood_02.left,On the paddles
card.cri_flood_02.left_outcome,You run every paddle yourself while Dace's men take boats to the roofs.
card.cri_flood_02.right,On a boat to the roofs
card.cri_flood_02.right_outcome,You pull eleven people off roofs. The pound does not fall. It waits for you.
card.cri_flood_03.text,"Three things. The east embankment's got a boil in it the size of a barrel, below the chapel. Quenn says an hour, maybe two. And every hand I've got is on a roof or a paddle."
card.cri_flood_03.left,Every hand to the boil
card.cri_flood_03.left_outcome,"Stone, timber, sacks, bodies. The boil stops. The roofs wait."
card.cri_flood_03.right,Cut the west bank into the Reach
card.cri_flood_03.right_outcome,The Reach floods to the gunwales. The east bank holds. The Hullfolk will not forget the choosing.
card.cri_flood_04.text,The pound is coming in faster than rain can explain. The inflow at the north bank is a boil the size of a house. Whatever feeds the pound has opened up. Sorry. I don't know how to close it. I don't think anyone alive does.
card.cri_flood_04.left,Ask Vosk
card.cri_flood_04.left_outcome,"""Noted."" Vosk goes to the sluice house alone with the Company key. By morning the boil is smaller. She does not explain."
card.cri_flood_04.right,Drain the flight; buy time
card.cri_flood_04.right_outcome,Every paddle for three days. The lower pounds flood. The summit holds. Aldmere writes.
card.cri_flood_05.text,"The chapel is an island. The undercroft is full to the nave floor and the founding chest has floated up the steps and lies open in the aisle. Letters everywhere, wet. The town is coming for shelter and will read them."
card.cri_flood_05.left,Gather the letters; shelter the town
card.cri_flood_05.left_outcome,You and Hale gather letters in the dark while the town comes in. Some are read. Some are lost. The town hears a name: Marrow.
card.cri_flood_05.right,Shelter the town; let the letters go
card.cri_flood_05.right_outcome,The letters go down the aisle and out the door on the flood. Some reach the pound. Bram's people find them. He reads.
card.cri_flood_06.text,"Two drowned on the low street. A lock hand and a child. I have laid them out at the inn. The town is not shouting. It is very quiet. In Year 44 it was quiet too, for about a day. Do something before the day is over."
card.cri_flood_06.left,Go to the inn and stand with them
card.cri_flood_06.left_outcome,You stand with the town at the laying-out. Nobody speaks to you. Nobody asks you to leave.
card.cri_flood_06.right,Drain the pound; nothing else matters
card.cri_flood_06.right_outcome,The paddles run for two days. The pound falls. The town buries its dead without you.
card.cri_flood_07.text,"The pound has stopped rising. It has not started falling. The embankment holds, barely, with the whole town's timber in it. The rain has stopped. The north bank boil has not. Somewhere under the hill something is open that was shut."
card.cri_flood_07.left,Go to the sluice house tonight
card.cri_flood_07.left_outcome,Iron straps. A key you may or may not have. The sound of a river behind a door.
card.cri_flood_07.right,Hold the paddles open and wait
card.cri_flood_07.right_outcome,A week of open paddles. The pound falls a mark a day. The boil dwindles. Nobody explains it.
card.cri_flood_08.text,"The water is down. The low street is mud. In the Ledger there is a page for floods, in three Keepers' hands, and yours is the fourth. Every entry ends the same way: 'the pound was higher than the reservoirs could explain'."
card.cri_flood_08.left,Write the same
card.cri_flood_08.left_outcome,The fourth hand. The same sentence. Someone will read it.
card.cri_flood_08.right,Write what the town lost
card.cri_flood_08.right_outcome,Names. A cellar count. A child. The Ledger has never had names in it before.
card.cri_frost_01.text,Hard frost. The west flight has frozen solid to Lock 5 and forty boats are trapped in the pound with a month's food between them and no way down. The east flight is open but the pound itself is skinning over. By morning it may not be.
card.cri_frost_01.left,Break the ice all night
card.cri_frost_01.left_outcome,"Every hand with a pole, all night, every night. The pound stays open. The hands stay awake."
card.cri_frost_01.right,Let it freeze; ration the town
card.cri_frost_01.right_outcome,The pound freezes. Forty crews walk into town. The Company store is emptied in a week.
card.cri_frost_02.text,"Three things. The Company store's empty. Forty bargees and their families are eating the town's winter. And a Sorrel crew has broken into the grain warehouse and is handing it out, which is theft, and also the only thing keeping anyone fed."
card.cri_frost_02.left,Let them hand it out; call it requisition
card.cri_frost_02.left_outcome,"Grain for everyone, by order. Aldmere's grain factor will want paying. Later. If there is a later."
card.cri_frost_02.right,Stop them; the grain is Aldmere's
card.cri_frost_02.right_outcome,Dace stops them. The grain is Aldmere's. The town is hungry and looking at the warehouse door.
card.cri_frost_03.text,My boats are in ice and my crews are eating your town and my principals are asking why I let it happen. I've a Sorrel ice-breaker at Lock 4. It could cut through in three days. It's a Sorrel vessel in Company water without a permit. Say yes.
card.cri_frost_03.left,Yes
card.cri_frost_03.left_outcome,A Sorrel ice-breaker cuts the west flight open in three days. Crane records the permit violation. Nobody cares. Everybody eats.
card.cri_frost_03.right,No Sorrel vessels without a permit
card.cri_frost_03.right_outcome,"""Then we all freeze together. Fine. I'll write it up as your decision."""
card.cri_frost_04.text,A child from a trapped boat has the winter cough and it has gone to her chest. I have nothing left. There is a physician at Lock 3 with what I need and the flight is ice. Someone could walk it. Nobody has since Year 31.
card.cri_frost_04.left,Walk it yourself
card.cri_frost_04.left_outcome,Nine miles of ice in the dark. You come back with a bottle and no feeling in your hands. The child lives.
card.cri_frost_04.right,Send Wren; she knows ice
card.cri_frost_04.right_outcome,"Wren goes. She is back by dawn, grinning, frozen. The child lives. Wren does not let you forget it."
card.cri_frost_05.text,"Thaw. Forty boats go down the west flight in a day, thin and quiet. The town counts its winter and finds it short. The Ledger's frost page, in Tobin's hand from Year 31: 'the pound froze because it was low. Ask why it was low.'"
card.cri_frost_05.left,Ask why it was low
card.cri_frost_05.left_outcome,You know why. You write that you know. It is the first Ledger entry that says so plainly.
card.cri_frost_05.right,Restock the town first
card.cri_frost_05.right_outcome,"The Coffers buy the town's winter back. Vosk reads the entry and says nothing, which is a gift."
card.cri_jam_01.text,The queue has reached Lock 6. Sixty boats. The lower pounds are so full of moored hulls that nothing can move in either direction. Aldmere has posted a cutter at Lock 5 to stop more coming up. It is not a queue now. It is a wall.
card.cri_jam_01.left,"Work through the night, every night"
card.cri_jam_01.left_outcome,Lamps for a week. The hands sleep on the beam. The wall shortens to Lock 7.
card.cri_jam_01.right,Turn back everything west of Lock 7
card.cri_jam_01.right_outcome,Twenty boats sent back down. Sorrel is livid. The wall becomes a queue.
card.cri_jam_02.text,"Twelve days. My principals have sent a man to replace me. He's at Lock 4, waiting in your queue. When he gets here I'm finished and you get someone who doesn't ask. I'd like to still be here. Clear my boats. Anything. Now."
card.cri_jam_02.left,"Sorrel boats first, until she's safe"
card.cri_jam_02.left_outcome,Twenty Sorrel boats through in two days. The replacement arrives to find nothing to replace. Crane writes eleven pages.
card.cri_jam_02.right,In order; I'm sorry
card.cri_jam_02.right_outcome,"""Sorry. Right."" She is replaced. The new man does not ask. He pays."
card.cri_jam_03.text,Aldmere has invoked the Compact's embargo clause. No grain passes the summit until the queue is 'cleared to Aldmere's satisfaction'. I did not advise it. I note that satisfaction is not defined. I note that I am the one who must define it.
card.cri_jam_03.left,Ask him to define it kindly
card.cri_jam_03.left_outcome,"""Kindly. Duly."" He defines it as 'no vessel waiting more than three days'. It is nearly achievable."
card.cri_jam_03.right,Defy the embargo
card.cri_jam_03.right_outcome,"Grain passes under your signature. Aldmere sends a second cutter. Crane does not speak to you for a week, then does, sadly."
card.cri_jam_04.text,Three things. A bargee in the queue has been stabbed over a place. He'll live. The one who did it has forty friends in the queue and the town has a rope. And I've eleven men and no constables.
card.cri_jam_04.left,Hold him in the lock house for Crane
card.cri_jam_04.left_outcome,Crane holds a hearing under the Compact. It is very long. Nobody is hanged. The queue watches every minute.
card.cri_jam_04.right,"Send him down the flight, now"
card.cri_jam_04.right_outcome,"He goes west in the night on a Hullfolk boat. The town's rope stays coiled. Justice, of a kind."
card.cri_jam_05.text,"The Board has sent the word 'remove'. Not yet with a name. The queue is in every newspaper on both shores and one has a drawing of the summit with a padlock on it. I have one week to send figures the Board can bear. One week, Keeper."
card.cri_jam_05.left,Suspend tolls and inspections for the week
card.cri_jam_05.left_outcome,"Free, uninspected passage. Sixty boats in a week. The chest is empty and Crane is silent. The Board bears it."
card.cri_jam_05.right,Send the true figures
card.cri_jam_05.right_outcome,The true figures. The Board's next word has a name in it.
card.cri_jam_06.text,"The queue's become a town of its own. Sixty boats, three hundred people, a market, two fights a day. Somebody's going to burn something. My men could patrol it. Aldmere would call that an occupation. Aldmere's cutter is at Lock 5, not here."
card.cri_jam_06.left,Patrol it
card.cri_jam_06.left_outcome,Sorrel soldiers walking a Company towpath. Nothing burns. Crane files. Aldmere protests. The queue sleeps.
card.cri_jam_06.right,The town's constable and Dace's men
card.cri_jam_06.right_outcome,One constable and eleven tired hands. Something burns: a tent. Nobody is hurt. Barely.
card.cri_jam_07.text,"The queue is a queue again. Twenty boats, orderly, complaining. The Ledger's jam page has two other Keepers' hands on it. Both end: 'the pound would not carry what the Company sent'. The pound is a mark lower than when it began."
card.cri_jam_07.left,Write it
card.cri_jam_07.left_outcome,The third hand. The same sentence.
card.cri_jam_07.right,Write the number of boats
card.cri_jam_07.right_outcome,"Numbers. The Board likes numbers. So, it turns out, do you."
card.cri_money_01.text,"The chest is empty, the hands unpaid, and I hold the town's debts and now, kindly, yours. I have sent the Company a copy of every note. Commissioner Kell arrives Tuesday. I am telling you so you may prepare a face."
card.cri_money_01.left,"Pay her something, anything"
card.cri_money_01.left_outcome,"You sell the good chair and the Company lamp oil. She accepts it, kindly, and withdraws one of the notes."
card.cri_money_01.right,Let Kell come
card.cri_money_01.right_outcome,Kell comes. He reads the notes. He says 'regrettably' four times.
card.cri_money_02.text,The chest cannot meet wages and the Company will not advance them again. There is a fund for 'exceptional maintenance' that nobody audits but me. Wages are not maintenance. I am asking whether the gate is.
card.cri_money_02.left,The gate is maintenance
card.cri_money_02.left_outcome,"""Noted."" Wages appear from a fund that does not exist for wages. She has done this before. Once."
card.cri_money_02.right,Don't lie for me
card.cri_money_02.right_outcome,"""Noted. I have lied for the Company eleven years. I would have liked to lie for a gate once."""
card.cri_money_03.text,"Three things. Nobody's been paid in three watches. Six hands have gone down the flight to Lock 6 where the Keeper pays. And the five left have asked me to tell you they're staying because of you, not the Company, and they'd like that written down somewhere."
card.cri_money_03.left,"Write it in the Ledger, with their names"
card.cri_money_03.left_outcome,Five names in the Ledger. It has never had lock hands' names in it. They come to see.
card.cri_money_03.right,Tell them to go to Lock 6 too
card.cri_money_03.right_outcome,"""Right."" They don't go. They work unpaid. It is worse than if they'd gone."
card.cri_money_04.text,The moot's had a whip-round. For the Keeper's chest. Nobody's ever done that for a Company post. It's not much. It's the town's beer money for a month. Take it and the Company owns nothing here; refuse it and the town'll never offer again.
card.cri_money_04.left,Take it
card.cri_money_04.left_outcome,The town's beer money in the Company's chest. Vosk sees the entry. 'Irregular.' She does not strike it.
card.cri_money_04.right,"Refuse it, gratefully"
card.cri_money_04.right_outcome,"""Gratefully. Right."" The town drinks its beer money and toasts you with it, which is something."
